調教師CD,調教師名,全出走数,全勝率,全複勝率,穴馬出走数(7人気↓),穴馬勝率,穴馬連対率,穴馬複勝率,穴馬期待複勝率,穴馬複勝超過率,穴馬人気以上率,穴馬単勝回収率,大穴出走数(10人気↓),大穴複勝率,戦略スコア
01193,緒方努,607,0.03789126853377265,0.14662273476112025,441,0.0045351473922902496,0.036281179138321996,0.07256235827664399,0.07357685630372,0.986211723658208,0.7755102040816326,0.41201814058956915,293,0.03754266211604096,1.3566558715707993
01196,西園翔太,634,0.083596214511041,0.25709779179810727,324,0.009259259259259259,0.05246913580246913,0.10185185185185185,0.08989536514254769,1.133004484606572,0.7098765432098766,0.37808641975308643,172,0.05813953488372093,1.354661973340633
00427,森秀行,1704,0.09330985915492958,0.24413145539906103,870,0.020689655172413793,0.04597701149425287,0.0896551724137931,0.08426333711066873,1.0639879155989622,0.6436781609195402,0.9270114942528735,486,0.059670781893004114,1.3501203961741197
00422,五十嵐忠,740,0.07027027027027027,0.2418918918918919,367,0.01907356948228883,0.05449591280653951,0.1008174386920981,0.08769719660899226,1.1496084548928502,0.6811989100817438,0.7727520435967302,196,0.07142857142857142,1.3473232504651675
01032,大根田裕,1218,0.05008210180623974,0.1724137931034483,835,0.010778443113772455,0.031137724550898204,0.06706586826347305,0.07278192870579192,0.9214631908777103,0.7461077844311377,1.0718562874251496,551,0.045372050816696916,1.3471236109686908
01147,武井亮,1602,0.08177278401997504,0.25530586766541824,788,0.017766497461928935,0.04949238578680203,0.08883248730964467,0.08569050928669031,1.0366665812714733,0.6687817258883249,0.6921319796954315,450,0.05333333333333334,1.3467920716726314
01199,千葉直人,359,0.06685236768802229,0.233983286908078,227,0.013215859030837005,0.039647577092511016,0.09251101321585903,0.0789781064036247,1.1713501048388424,0.7268722466960352,0.4555066079295154,142,0.07746478873239436,1.3461505242110574
01177,伊坂重信,1132,0.04858657243816254,0.15459363957597172,753,0.014608233731739707,0.029216467463479414,0.0703851261620186,0.07308677247233146,0.9630350852976081,0.7237715803452855,0.4802124833997344,516,0.046511627906976744,1.3447964878840137
01041,藤沢則雄,1080,0.023148148148148147,0.09814814814814815,882,0.0045351473922902496,0.017006802721088437,0.05215419501133787,0.06136083821258387,0.8499589727025941,0.7993197278911565,0.15215419501133787,668,0.029940119760479042,1.342030729646751
01028,西園正都,1910,0.09633507853403141,0.256020942408377,897,0.017837235228539576,0.044593088071348944,0.08807134894091416,0.08624134410522315,1.0212195769288825,0.6633221850613155,0.5673355629877369,499,0.056112224448897796,1.3414199348137705
01074,奥平雅士,1303,0.04834996162701458,0.17421335379892555,868,0.01728110599078341,0.03456221198156682,0.06912442396313365,0.07289102172119476,0.948325628189598,0.716589861751152,0.8432027649769586,572,0.03146853146853147,1.3392068789018425
01160,武幸四郎,1536,0.10872395833333333,0.314453125,578,0.02768166089965398,0.07785467128027682,0.11418685121107267,0.09635989419184565,1.1850039081999697,0.6072664359861591,0.8264705882352941,273,0.06593406593406594,1.3330499862390335
01143,和田雄二,1470,0.03197278911564626,0.12857142857142856,1098,0.010018214936247723,0.023679417122040074,0.05191256830601093,0.061771855234681775,0.8403919245874397,0.7750455373406193,0.5581056466302368,820,0.024390243902439025,1.3281349252261705
01148,西村真幸,1685,0.08724035608308606,0.257566765578635,740,0.02027027027027027,0.05540540540540541,0.09594594594594595,0.0892486059369788,1.0750413963182388,0.6391891891891892,1.200135135135135,387,0.09560723514211886,1.3222878630041284
01138,浜田多実,1497,0.06947227788911156,0.19906479625918505,912,0.015350877192982455,0.04057017543859649,0.0756578947368421,0.07825254836424386,0.9668425670263878,0.6885964912280702,0.6173245614035088,577,0.03292894280762565,1.321594926820801
01128,今野貞一,1439,0.08269631688672689,0.21056289089645588,779,0.024390243902439025,0.043645699614890884,0.08600770218228498,0.08491862349853124,1.0128249686451003,0.6726572528883183,1.1423620025673942,442,0.05203619909502263,1.3211670676889247
01164,安田翔伍,1358,0.10309278350515463,0.3026509572901325,500,0.024,0.056,0.106,0.09252441532272775,1.1456435539772831,0.636,0.6744,249,0.04417670682730924,1.319050154858398
